NUMERO;LOCALIDAD_COLEGIO;PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;BIOLOGIA_ICFES;IDIOMA_ICFES;LOCALIDAD;PROMEDIO_UNO;CAR_UNO;NCC_UNO;NCP_UNO;NAA_UNO;NAP_UNO;ESTADO_FINAL;NOTA_DIFERENCIAL;NOTA_DIBUJO;NOTA_QUIMICA;NOTA_CFJC;NOTA_TEXTOS;NOTA_SEMINARIO;NOTA_EE_UNO;PROMEDIO_DOS;CAR_DOS;NCC_DOS;NCA_DOS;NCP_DOS;NAC_DOS;NAA_DOS;NAP_DOS;EPA_DOS;NOTA_ALGEBRA;VECES_ALGEBRA;CREDITOS_ALGEBRA;NOTA_INTEGRAL;VECES_INTEGRAL;CREDITOS_INTEGRAL;NOTA_FISICA_UNO;VECES_FISICA_UNO;CREDITOS_FISICA_UNO;NOTA_MATERIALES;VECES_MATERIALES;CREDITOS_MATERIALES;NOTA_DEMOCRACIA;VECES_DEMOCRACIA;CREDITOS_DEMOCRACIA;NOTA_PBASICA;VECES_PBASICA;CREDITOS_PBASICA;NOTA_EE_DOS;VECES_EE_DOS;CREDITOS_EE_DOS;RENDIMIENTO_TRES;PROMEDIO_TRES
1;20;472.22;65.25;63.43;59.24;62.81;8;39.44444444444444;0;9;0;4;0;1;35.0;0.0;45.0;40.0;0.0;40.0;0.0;15.0;0;3;0;3;1;0;1;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;15.0;1;3;0.0;0;2;0;0.0
491;20;373.96;37.99;42.13;49.05;37.51;20;26.66666666666667;2;13;9;3;3;1;26.66666666666667;35.0;25.0;40.0;10.0;35.0;0.0;11.45;1;10;1;9;4;1;3;1;4.0;1;3;0.0;0;3;12.5;2;3;0.0;0;2;35.0;1;1;10.0;1;3;0.0;0;2;2;35.0
831;20;419.74;65.67;60.6;61.35;75.8;20;39.6;0;15;0;7;0;10;36.0;41.0;34.0;36.0;46.0;50.0;44.0;33.29411764705883;2;17;14;3;7;6;1;2;34.0;2;3;29.0;2;3;38.0;1;3;30.0;1;2;37.0;1;1;34.0;1;3;32.0;1;2;2;33.1574074074074
1250;20;425.0;72.0;65.0;57.0;65.0;15;35.5;1;15;3;6;1;2;35.0;40.0;29.5;38.0;39.0;30.0;39.0;34.8235294117647;1;17;17;0;7;7;0;2;32.0;2;3;33.0;1;3;30.0;1;3;38.0;1;2;45.0;1;1;42.0;1;3;30.0;1;2;2;37.22222222222222
1265;20;425.0;76.0;60.0;62.0;50.0;9;30.15384615384615;2;13;7;4;2;9;22.0;36.0;25.33333333333333;38.0;37.0;44.0;0.0;31.4;2;15;12;3;6;5;1;2;30.0;1;3;21.0;3;3;38.0;1;3;34.0;1;2;34.0;1;1;34.0;2;3;0.0;0;2;2;32.28571428571428
1466;20;454.0;79.0;62.0;64.0;83.0;10;38.6;0;15;0;7;0;2;41.0;39.0;31.0;38.0;36.0;46.0;44.0;33.61764705882353;2;17;17;0;7;7;0;2;32.0;2;3;36.0;1;3;31.0;1;3;34.0;1;2;35.0;1;1;30.5;2;3;40.0;1;2;2;35.34375
2;0;478.78;62.84;58.68;59.24;53.56;8;31.8;1;15;4;6;1;5;22.5;30.0;40.0;35.0;30.0;40.0;36.0;31.65625;1;16;13;3;6;5;1;2;22.5;2;3;30.0;1;3;35.0;1;3;30.0;1;2;0.0;0;1;40.0;1;3;32.0;1;2;2;37.93333333333333
4;10;491.36;72.55;56.51;65.0;53.32;10;31.15384615384615;1;13;4;5;1;10;20.0;40.0;35.0;40.0;30.0;40.0;0.0;33.33333333333334;0;9;9;0;3;3;0;2;30.0;1;3;0.0;0;3;30.0;1;3;0.0;0;2;0.0;0;1;40.0;1;3;0.0;0;2;2;40.0
6;15;465.73;75.27;58.93;55.99;65.86;16;35.33333333333334;1;15;0;7;0;5;30.0;40.0;30.0;35.0;40.0;45.0;40.0;35.0;0;16;16;0;6;6;0;2;30.0;1;3;30.0;1;3;40.0;1;3;35.0;1;2;0.0;0;1;40.0;1;3;35.0;1;2;3;40.73333333333333
8;9;491.66;89.86;54.12;65.0;53.32;9;38.07692307692308;0;13;0;6;0;1;45.0;30.0;35.0;40.0;35.0;40.0;0.0;36.25;0;12;12;0;4;4;0;2;30.0;1;3;35.0;1;3;35.0;1;3;0.0;0;2;0.0;0;1;45.0;1;3;0.0;0;2;2;38.33333333333334
9;15;478.1;72.55;56.51;53.95;69.48;5;38.66666666666666;1;15;0;7;0;5;30.0;40.0;40.0;40.0;40.0;40.0;50.0;34.3125;0;16;16;0;6;6;0;2;35.0;1;3;30.0;1;3;35.0;1;3;35.0;1;2;0.0;0;1;35.0;1;3;37.0;1;2;3;40.73333333333333
10;15;465.69;67.54;56.51;58.09;62.69;18;33.66666666666666;1;15;4;6;1;5;22.5;40.0;35.0;40.0;35.0;40.0;40.0;34.5625;1;16;14;2;6;5;1;2;35.0;1;3;30.0;1;3;35.0;1;3;28.5;2;2;0.0;0;1;40.0;1;3;38.0;1;2;2;37.53333333333333
11;16;473.19;53.2;64.0;62.54;49.65;16;32.53333333333333;1;15;4;6;1;5;23.75;30.0;35.0;40.0;35.0;40.0;39.0;30.83333333333333;3;16;8;8;6;3;3;1;22.5;4;3;27.5;2;3;35.0;1;3;28.66666666666667;3;2;0.0;0;1;35.0;1;3;38.0;1;2;2;30.30769230769231
13;1;459.45;65.16;61.41;53.95;58.45;13;15.0;0;9;9;0;4;1;15.0;0.0;15.0;15.0;0.0;15.0;0.0;15.0;0;3;0;3;1;0;1;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;15.0;1;3;0.0;0;2;0;0.0
15;9;488.76;75.27;58.93;79.45;88.67;8;37.93333333333333;0;15;0;7;0;5;35.0;35.0;40.0;45.0;45.0;40.0;32.0;39.0625;0;16;16;0;6;6;0;2;40.0;1;3;30.0;1;3;40.0;1;3;45.0;1;2;0.0;0;1;35.0;1;3;50.0;1;2;3;40.33333333333334
17;0;478.39;78.22;64.0;55.99;69.48;10;26.81818181818182;0;11;8;2;3;1;25.0;0.0;15.0;20.0;0.0;40.0;45.0;21.2;1;5;2;3;2;1;1;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;15.0;1;3;30.5;2;2;4;50.0
19;10;476.73;65.16;64.0;53.95;48.43;10;31.15384615384615;1;13;4;5;1;1;20.0;30.0;35.0;40.0;40.0;40.0;0.0;28.125;2;12;6;6;4;2;2;1;30.0;1;3;27.5;2;3;25.0;3;3;0.0;0;2;0.0;0;1;30.0;1;3;0.0;0;2;1;26.45454545454545
20;18;488.95;69.99;58.93;60.25;54.57;18;37.2;0;15;0;7;0;5;35.0;40.0;30.0;40.0;45.0;40.0;39.0;36.375;0;16;16;0;6;6;0;2;30.0;1;3;30.0;1;3;35.0;1;3;35.0;1;2;0.0;0;1;45.0;1;3;46.0;1;2;3;42.2
22;14;498.96;85.28;54.12;62.54;57.13;7;41.66666666666666;0;15;0;7;0;1;45.0;45.0;40.0;35.0;35.0;40.0;45.0;40.89285714285715;1;14;14;0;5;5;0;2;45.0;1;3;40.0;1;3;40.0;1;3;0.0;0;2;0.0;0;1;32.5;2;3;50.0;1;2;3;43.125
